BKG_DATE,INV_AMT,INV_AMT_Q,INV_AMT_DIFF,ITEM_AMT,ITEM_AMT_Q,ITEM_AMT_DIFF,weekday,holiday,holiday_diff,ITEM_CD_COUNT
2021-03-01,0.04634342896050277,1.0,1.0,0.04431854807974365,1.0,1.0,1,1,0,2190
2021-03-02,0.062011934055923146,1.0,1.0,0.09231898790542642,1.0,1.0,0,0,0,3822
2021-03-03,0.030989874470471426,1.0,1.0,0.03893752660457537,1.0,1.0,0,0,0,1844
2021-03-04,0.021193018220843962,1.0,1.0,0.026802776642712127,1.0,1.0,0,0,0,1698
2021-03-05,0.006190424374158739,1.0,1.0,0.007536843309669611,1.0,1.0,0,0,0,1501
2021-03-06,0.004584810579140994,1.0,1.0,0.0,1.0,1.0,0,0,0,1159
2021-03-07,0.025674006972669042,1.0,1.0,0.02561406848113853,1.0,1.0,0,0,0,1791
2021-03-08,0.026413131952097005,1.0,1.0,0.03468495703924055,1.0,1.0,1,0,0,1892
2021-03-09,0.022696657303969664,1.0,1.0,0.02748306123337204,1.0,1.0,0,0,0,1970
2021-03-10,0.03490200394859258,1.0,1.0,0.03548327328742625,1.0,1.0,0,0,0,1893
2021-03-11,0.017790195969623765,1.0,1.0,0.022969386793820955,1.0,1.0,0,0,0,1840
2021-03-12,0.03949001212849096,1.0,1.0,0.037693723682844786,1.0,1.0,0,0,0,1917
2021-03-13,0.05971170902063126,1.0,1.0,0.06412632147920755,1.0,1.0,0,0,0,2530
2021-03-14,0.09617321858111336,1.0,1.0,0.10819347161890583,1.0,1.0,0,0,0,3577
2021-03-15,0.05203266644537875,1.0,1.0,0.05484799090938123,1.0,1.0,1,0,0,2546
2021-03-16,0.03784247229847454,1.0,1.0,0.04435031622793933,1.0,1.0,0,0,0,2101
2021-03-17,0.049317938253597496,1.0,1.0,0.06509245280373721,1.0,1.0,0,0,0,2613
2021-03-18,0.030309465108220524,1.0,1.0,0.035118205982741506,1.0,1.0,0,0,0,2091
2021-03-19,0.010172909781750852,1.0,1.0,0.010848905858689216,1.0,1.0,0,0,0,1577
2021-03-20,0.01948596990806758,1.0,1.0,0.01920637638016203,1.0,1.0,0,0,0,1465
2021-03-21,0.09236300282522403,1.0,1.0,0.10471147944699047,1.0,1.0,0,0,0,2753
2021-03-22,0.4553477838226373,1.0,1.0,0.5143131158596019,1.0,1.0,1,0,0,13282
2021-03-23,0.9446670262094266,2.0,1.0,1.0,2.0,1.0,0,0,0,25333
2021-03-24,0.15073897729732214,1.0,2.0,0.1693190350914495,1.0,2.0,0,0,0,3999
2021-03-25,0.10207853371934908,1.0,1.0,0.10940011180123768,1.0,1.0,0,0,0,3130
2021-03-26,0.1762455502270632,1.0,1.0,0.24485774746047123,1.0,1.0,0,0,0,8666
2021-03-27,0.1334799577041934,1.0,1.0,0.1694349688523963,1.0,1.0,0,0,0,3624
2021-03-28,0.1136373725399962,1.0,1.0,0.11650781871070004,1.0,1.0,0,0,0,3250
2021-03-29,0.06375027006439367,1.0,1.0,0.07841011673662265,1.0,1.0,1,0,0,3401
2021-03-30,0.033712339636292346,1.0,1.0,0.04296875143085704,1.0,1.0,0,0,0,2303
2021-03-31,0.04478021169214827,1.0,1.0,0.05727878704548197,1.0,1.0,0,0,0,2479
2021-04-01,0.030551803166710356,1.0,1.0,0.036929057029786695,1.0,1.0,0,0,0,1936
2021-04-02,0.009871908382935564,1.0,1.0,0.009570154643948822,1.0,1.0,0,0,0,1465
2021-04-03,0.011723763574697385,1.0,1.0,0.011452717124054178,1.0,1.0,0,0,0,1460
2021-04-04,0.026749063000602577,1.0,1.0,0.03383117973149521,1.0,1.0,0,0,0,1818
2021-04-05,0.04803840132055509,1.0,1.0,0.04868170676474078,1.0,1.0,1,0,0,2235
2021-04-06,0.0680642081368693,1.0,1.0,0.07817735011619517,1.0,1.0,0,0,0,2689
2021-04-07,0.02853031830425254,1.0,1.0,0.04221182701517368,1.0,1.0,0,0,0,1911
2021-04-08,0.048793096088957,1.0,1.0,0.05730422820399506,1.0,1.0,0,0,0,2152
2021-04-09,0.016364484246645217,1.0,1.0,0.022283857461713637,1.0,1.0,0,0,0,1589
2021-04-10,0.0,1.0,1.0,0.0015634491004835466,1.0,1.0,0,0,0,1081
2021-04-11,0.02210722708915354,1.0,1.0,0.029003903053335285,1.0,1.0,0,0,0,1727
2021-04-12,0.0678628638428576,1.0,1.0,0.08597270090431663,1.0,1.0,1,0,0,4314
2021-04-13,0.06094692389630911,1.0,1.0,0.07780753756924849,1.0,1.0,0,0,0,2485
2021-04-14,0.045401957714073723,1.0,1.0,0.054367023143695355,1.0,1.0,0,0,0,2258
2021-04-15,0.03127607280746986,1.0,1.0,0.04258119001285344,1.0,1.0,0,0,0,1879
2021-04-16,0.0273620352242646,1.0,1.0,0.034430628703973766,1.0,1.0,0,0,0,2031
2021-04-17,0.015800295038352605,1.0,1.0,0.0173451425152761,1.0,1.0,0,0,0,1595
2021-04-18,0.026138356107177407,1.0,1.0,0.030790828089396628,1.0,1.0,0,0,0,1741
2021-04-19,0.2932978471094295,1.0,1.0,0.31082490658782486,1.0,1.0,1,0,0,12275
2021-04-20,0.8469742066798264,3.0,1.0,0.8026456407257537,3.0,1.0,0,0,0,21886
2021-04-21,0.0555117867615373,1.0,3.0,0.06494921308731821,1.0,3.0,0,0,0,3535
2021-04-22,0.04452217315255545,1.0,1.0,0.05634009487620729,1.0,1.0,0,0,0,2424
2021-04-23,0.029945208718945904,1.0,1.0,0.03319979611109248,1.0,1.0,0,0,0,1957
2021-04-24,0.005290208276465917,1.0,1.0,0.011669066871252652,1.0,1.0,0,0,0,1430
2021-04-25,0.031977506176880305,1.0,1.0,0.03741410403882054,1.0,1.0,0,0,0,2068
2021-04-26,0.03699976073756295,1.0,1.0,0.049220866185533514,1.0,1.0,1,0,0,2292
2021-04-27,0.04331124958726336,1.0,1.0,0.04748722106258862,1.0,1.0,0,0,0,2507
2021-04-28,0.03870617301531129,1.0,1.0,0.0477865709244388,1.0,1.0,0,0,0,2214
2021-04-29,0.03480091794317808,1.0,1.0,0.04067248707537532,1.0,1.0,0,0,0,2420
2021-04-30,0.010237750503375977,1.0,1.0,0.018515086157449005,1.0,1.0,0,0,0,1720
2021-05-01,0.03445501072882182,1.0,1.0,0.035704834476126414,1.0,1.0,0,0,0,2062
2021-05-02,0.04361461215721012,1.0,1.0,0.05303575791458957,1.0,1.0,0,0,0,2480
2021-05-03,0.045785242877337776,1.0,1.0,0.05498615238408131,1.0,1.0,1,0,0,2429
2021-05-04,0.020924724705525144,1.0,1.0,0.027075702997651115,1.0,1.0,0,0,1,1852
2021-05-05,0.026340275446556927,1.0,1.0,0.03550844804637377,1.0,1.0,0,1,0,2094
2021-05-06,0.033230442905257104,1.0,1.0,0.04092340216620808,1.0,1.0,0,0,0,2246
2021-05-07,0.0240794932958118,1.0,1.0,0.0220018235716263,1.0,1.0,0,0,0,1750
2021-05-08,0.00890130150453737,1.0,1.0,0.013399964748677488,1.0,1.0,0,0,0,1598
2021-05-09,0.049932618187745734,1.0,1.0,0.06312369341419316,1.0,1.0,0,0,0,2740
2021-05-10,0.07223235478298733,1.0,1.0,0.09383306983641301,1.0,1.0,1,0,0,3528
2021-05-11,0.044285245748208205,1.0,1.0,0.05958610698293534,1.0,1.0,0,0,0,2563
2021-05-12,0.04510882398142714,1.0,1.0,0.05852040882076933,1.0,1.0,0,0,0,3315
2021-05-13,0.029127929846347086,1.0,1.0,0.0363609599561826,1.0,1.0,0,0,0,2318
2021-05-14,0.029518455353560416,1.0,1.0,0.0297464751924229,1.0,1.0,0,0,0,2014
2021-05-15,0.015853382181171993,1.0,1.0,0.019799831362414998,1.0,1.0,0,0,0,1829
2021-05-16,0.22131297094200789,2.0,1.0,0.2566844562746572,2.0,1.0,0,0,0,10773
2021-05-17,0.7650170854255945,2.0,2.0,0.7798130667588321,2.0,2.0,1,0,0,23466
2021-05-18,0.1961735557668063,1.0,2.0,0.2102561068853665,1.0,2.0,0,0,1,6529
2021-05-19,0.08709441102690268,1.0,1.0,0.0911214885581886,1.0,1.0,0,1,0,3636
2021-05-20,0.14865975265225082,1.0,1.0,0.18456784612521332,1.0,1.0,0,0,0,5437
2021-05-21,0.11125450651510282,1.0,1.0,0.1562675043245807,1.0,1.0,0,0,0,4284
2021-05-22,0.06526329284238504,1.0,1.0,0.09084939470189207,1.0,1.0,0,0,0,3060
2021-05-23,0.058416314775931,1.0,1.0,0.07277271897952717,1.0,1.0,0,0,0,2949
2021-05-24,0.2195414217071419,2.0,1.0,0.253503578861714,2.0,1.0,1,0,0,6211
2021-05-25,0.054077824008811504,1.0,2.0,0.06482328934266207,1.0,2.0,0,0,0,2886
2021-05-26,0.050744390565307315,1.0,1.0,0.0627734112853982,1.0,1.0,0,0,0,3242
2021-05-27,0.04287791805138244,1.0,1.0,0.04779298116398561,1.0,1.0,0,0,0,2568
2021-05-28,0.027839148623376678,1.0,1.0,0.03540145532084681,1.0,1.0,0,0,0,2053
2021-05-29,0.00973903805173653,1.0,1.0,0.016500356192869152,1.0,1.0,0,0,0,1695
2021-05-30,0.06554631971705188,1.0,1.0,0.08528595612419135,1.0,1.0,0,0,0,3588
2021-05-31,0.062425435239423135,1.0,1.0,0.07910330505624044,1.0,1.0,1,0,0,3295
